speaker_id,gender,layer,utterance_count,mean_norm,std_norm
Session1_F,female,6,343,3.028050046620494,0.6953830753158845
Session1_M,male,6,426,3.0745520888359894,0.7327065089850694
Session2_F,female,6,310,2.6661619574792925,0.5105117694427913
Session2_M,male,6,382,2.6139241148039933,0.4404814330712762
Session3_F,female,6,299,2.998976791184084,0.6655206697030993
Session3_M,male,6,401,2.9057192995661216,0.6121241747612981
Session4_F,female,6,328,2.706218619172166,0.5815069852516837
Session4_M,male,6,361,2.721766768730248,0.49423044150607304
Session5_F,female,6,294,2.8079232366717592,0.5607543705662568
Session5_M,male,6,402,2.7632873378582854,0.5558842856792116
